,Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
344,8,2001-07-15,222.5,Colmar,Pontarlier,Plain stage,Erik Dekker,NED
345,9,2001-07-16,185.0,Pontarlier,Aix-les-Bains,Plain stage,Serguei Ivanov,RUS
346,10,2001-07-17,209.0,Aix-les-Bains,Alpe d'Huez,Stage with mountain(s),Lance Armstrong[n 1],USA
347,11,2001-07-18,32.0,Grenoble,Chamrousse,Individual time trial,Lance Armstrong[n 1],USA
348,12,2001-07-20,166.5,Perpignan,Plateau de Bonascre,Stage with mountain(s),Félix Cárdenas,COL
349,13,2001-07-21,194.0,Foix,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Lance Armstrong[n 1],USA
350,14,2001-07-22,141.5,Tarbes,Luz Ardiden,Stage with mountain(s),Roberto Laiseka,ESP
351,15,2001-07-24,232.5,Pau,Lavaur,Plain stage,Rik Verbrugghe,BEL
352,16,2001-07-25,229.5,Castelsarrasin,Sarran,Plain stage,Jens Voigt,GER
353,17,2001-07-26,194.0,Brive-la-Gaillarde,Montluçon,Plain stage,Serge Baguet,BEL
354,18,2001-07-27,61.0,Montluçon,Saint-Amand-Montrond,Individual time trial,Lance Armstrong[n 1],USA
355,19,2001-07-28,149.5,Orléans,Évry,Plain stage,Erik Zabel,GER
356,20,2001-07-29,160.5,Corbeil-Essonnes,Paris,Plain stage,Ján Svorada,CZE
357,1,2000-07-01,16.5,Futuroscope,Futuroscope,Individual time trial,David Millar,GBR
358,2,2000-07-02,194.0,Futuroscope,Loudun,Plain stage,Tom Steels,BEL
359,3,2000-07-03,161.5,Loudun,Nantes,Plain stage,Tom Steels,BEL
361,5,2000-07-05,202.0,Vannes,Vitré,Plain stage,Marcel Wüst,GER
362,6,2000-07-06,198.5,Vitré,Tours,Plain stage,Leon van Bon,NED
363,7,2000-07-07,205.5,Tours,Limoges,Plain stage,Christophe Agnolutto,FRA
364,8,2000-07-08,203.5,Limoges,Villeneuve-sur-Lot,Plain stage,Erik Dekker,NED
365,9,2000-07-09,181.0,Agen,Dax,Plain stage,Paolo Bettini,ITA
366,10,2000-07-10,205.0,Dax,Hautacam,Stage with mountain(s),Javier Otxoa,ESP
367,11,2000-07-11,218.5,Bagnères-de-Bigorre,Revel,Hilly stage,Erik Dekker,NED
368,12,2000-07-13,149.0,Carpentras,Mont Ventoux,Stage with mountain(s),Marco Pantani,ITA
369,13,2000-07-14,185.5,Avignon,Draguignan,Plain stage,José Vicente Garcia,ESP
370,14,2000-07-15,249.5,Draguignan,Briançon,Stage with mountain(s),Santiago Botero,COL
371,15,2000-07-16,173.5,Briançon,Courchevel,Stage with mountain(s),Marco Pantani,ITA
372,16,2000-07-18,196.5,Courchevel,Morzine,Stage with mountain(s),Richard Virenque,FRA
373,17,2000-07-19,155.0,Évian-les-Bains,Lausanne,Hilly stage,Erik Dekker,NED
374,18,2000-07-20,246.5,Lausanne,Freiburg,Plain stage,Salvatore Commesso,ITA
375,19,2000-07-21,58.5,Freiburg,Mulhouse,Individual time trial,Lance Armstrong[n 1],USA
376,20,2000-07-22,254.5,Belfort,Troyes,Plain stage,Erik Zabel,GER
377,21,2000-07-23,138.0,Paris,Paris,Plain stage,Stefano Zanini,ITA
378,P,1999-07-03,6.8,Le Puy du Fou,Le Puy du Fou,Individual time trial,Lance Armstrong[n 1],USA
379,1,1999-07-04,208.0,Montaigu,Challans,Plain stage,Jaan Kirsipuu,EST
380,2,1999-07-05,176.0,Challans,Saint-Nazaire,Plain stage,Tom Steels,BEL
381,3,1999-07-06,194.5,Nantes,Laval,Plain stage,Tom Steels,BEL
382,4,1999-07-07,194.5,Laval,Blois,Plain stage,Mario Cipollini,ITA
383,5,1999-07-08,233.5,Bonneval,Amiens,Plain stage,Mario Cipollini,ITA
384,6,1999-07-09,171.5,Amiens,Maubeuge,Plain stage,Mario Cipollini,ITA
385,7,1999-07-10,227.0,Avesnes-sur-Helpe,Thionville,Plain stage,Mario Cipollini,ITA
386,8,1999-07-11,56.5,Metz,Metz,Individual time trial,Lance Armstrong[n 1],USA
387,9,1999-07-13,213.5,Le Grand-Bornand,Sestrières,Stage with mountain(s),Lance Armstrong[n 1],USA
388,10,1999-07-14,220.5,Sestrières,Alpe d'Huez,Stage with mountain(s),Giuseppe Guerini,ITA
389,11,1999-07-15,198.5,Le Bourg-d'Oisans,Saint-Étienne,Hilly stage,Ludo Dierckxsens,BEL
390,12,1999-07-16,201.5,Saint-Galmier,Saint-Flour,Hilly stage,David Etxebarria,ESP
391,13,1999-07-17,236.5,Saint-Flour,Albi,Hilly stage,Salvatore Commesso,ITA
392,14,1999-07-18,199.0,Castres,Saint-Gaudens,Plain stage,Dmitri Konychev,RUS
393,15,1999-07-20,173.0,Saint-Gaudens,Piau-Engaly,Stage with mountain(s),Fernando Escartín,ESP
394,16,1999-07-21,192.0,Lannemezan,Pau,Stage with mountain(s),David Etxebarria,ESP
395,17,1999-07-22,200.0,Mourenx,Bordeaux,Plain stage,Tom Steels,BEL
396,18,1999-07-23,187.5,Jonzac,Futuroscope,Plain stage,Giampaolo Mondini,ITA
397,19,1999-07-24,57.0,Futuroscope,Futuroscope,Individual time trial,Lance Armstrong[n 1],USA
398,20,1999-07-25,143.5,Arpajon,Paris,Plain stage,Robbie McEwen,AUS
399,P,1998-07-11,5.6,Dublin,Dublin,Individual time trial,Chris Boardman,GBR
400,1,1998-07-12,180.5,Dublin,Dublin,Plain stage,Tom Steels,BEL
401,2,1998-07-13,205.5,Enniscorthy,Cork,Plain stage,Ján Svorada,CZE
402,3,1998-07-14,169.0,Roscoff,Lorient,Plain stage,Jens Heppner,GER
403,4,1998-07-15,252.0,Plouay,Cholet,Plain stage,Jeroen Blijlevens,NED
404,5,1998-07-16,228.5,Cholet,Châteauroux,Plain stage,Mario Cipollini,ITA
405,6,1998-07-17,204.5,La Châtre,Brive-la-Gaillarde,Plain stage,Mario Cipollini,ITA
406,7,1998-07-18,58.0,Meyrignac-l'Église,Corrèze,Individual time trial,Jan Ullrich,GER
407,8,1998-07-19,190.5,Brive-la-Gaillarde,Montauban,Plain stage,Jacky Durand,FRA
408,9,1998-07-20,210.0,Montauban,Pau,Plain stage,Leon van Bon,NED
409,10,1998-07-21,196.5,Pau,Luchon,Stage with mountain(s),Rodolfo Massi,ITA
410,11,1998-07-22,170.0,Luchon,Plateau de Beille,Stage with mountain(s),Marco Pantani,ITA
411,12,1998-07-24,222.0,Tarascon-sur-Ariège,Le Cap d'Agde,Plain stage,Tom Steels,BEL
412,13,1998-07-25,196.0,Frontignan la Peyrade,Carpentras,Plain stage,Daniele Nardello,ITA
413,14,1998-07-26,186.5,Valréas,Grenoble,Hilly stage,Stuart O'Grady,AUS
414,15,1998-07-27,189.0,Grenoble,Les Deux Alpes,Stage with mountain(s),Marco Pantani,ITA
415,16,1998-07-28,204.0,Vizille,Albertville,Stage with mountain(s),Jan Ullrich,GER
417,18,1998-07-30,218.5,Aix-les-Bains,Neuchâtel,Hilly stage,Tom Steels,BEL
418,19,1998-07-31,242.0,La Chaux-de-Fonds,Autun,Plain stage,Magnus Bäckstedt,SWE
419,20,1998-08-01,52.0,Montceau-les-Mines,Le Creusot,Individual time trial,Jan Ullrich,GER
420,21,1998-08-02,147.5,Melun,Paris,Plain stage,Tom Steels,BEL
421,P,1997-07-05,7.3,Rouen,Rouen,Individual time trial,Chris Boardman,GBR
422,1,1997-07-06,192.0,Rouen,Forges-les-Eaux,Flat stage,Mario Cipollini,ITA
423,2,1997-07-07,262.0,Saint-Valery-en-Caux,Vire,Flat stage,Mario Cipollini,ITA
424,3,1997-07-08,224.0,Vire,Plumelec,Flat stage,Erik Zabel,GER
425,4,1997-07-09,223.0,Plumelec,Le Puy du Fou,Flat stage,Nicola Minali,ITA
426,5,1997-07-10,261.5,Chantonnay,La Châtre,Flat stage,Cédric Vasseur,FRA
427,6,1997-07-11,217.5,Le Blanc,Marennes,Flat stage,Jeroen Blijlevens,NED
428,7,1997-07-12,194.0,Marennes,Bordeaux,Flat stage,Erik Zabel,GER
429,8,1997-07-13,161.5,Sauternes,Pau,Flat stage,Erik Zabel,GER
430,9,1997-07-14,182.0,Pau,Loudenvielle,Mountain stage,Laurent Brochard,FRA
431,10,1997-07-15,252.5,Luchon,Andorra Arcalis,Mountain stage,Jan Ullrich,GER
432,11,1997-07-16,192.0,Andorra Arcalis,Perpignan,Hilly stage,Laurent Desbiens,FRA
433,12,1997-07-18,55.0,Saint-Étienne,Saint-Étienne,Individual time trial,Jan Ullrich,GER
434,13,1997-07-19,203.5,Saint-Étienne,Alpe d'Huez,Mountain stage,Marco Pantani,ITA
435,14,1997-07-20,148.0,Le Bourg-d'Oisans,Courchevel,Mountain stage,Richard Virenque,FRA
436,15,1997-07-21,208.5,Courchevel,Morzine,Mountain stage,Marco Pantani,ITA
437,16,1997-07-22,181.0,Morzine,Fribourg,Hilly stage,Christophe Mengin,FRA
438,17,1997-07-23,218.5,Fribourg,Colmar,Flat stage,Neil Stephens,AUS
439,18,1997-07-24,175.5,Colmar,Montbéliard,Hilly stage,Didier Rous,FRA
440,19,1997-07-25,172.0,Montbéliard,Dijon,Flat stage,Mario Traversoni,ITA
441,20,1997-07-26,63.0,Disneyland Paris,Disneyland Paris,Individual time trial,Abraham Olano,ESP
442,21,1997-07-27,149.5,Disneyland Paris,Paris,Flat stage,Nicola Minali,ITA
443,P,1996-06-29,9.4,'s-Hertogenbosch,'s-Hertogenbosch,Individual time trial,Alex Zülle,SUI
444,1,1996-06-30,209.0,'s-Hertogenbosch,'s-Hertogenbosch,Plain stage,Frédéric Moncassin,FRA
445,2,1996-07-01,247.5,'s-Hertogenbosch,Wasquehal,Plain stage,Mario Cipollini,ITA
446,3,1996-07-02,195.0,Wasquehal,Nogent-sur-Oise,Plain stage,Erik Zabel,GER
447,4,1996-07-03,232.0,Soissons,Lac de Madine,Plain stage,Cyril Saugrain,FRA
448,5,1996-07-04,242.0,Lac de Madine,Besançon,Plain stage,Jeroen Blijlevens,NED
449,6,1996-07-05,207.0,Arc-et-Senans,Aix-les-Bains,Hilly stage,Michael Boogerd,NED
450,7,1996-07-06,200.0,Chambéry,Les Arcs,Stage with mountain(s),Luc Leblanc,FRA
451,8,1996-07-07,30.5,Bourg-Saint-Maurice,Val d'Isère,Individual time trial,Evgueni Berzin,RUS
452,9,1996-07-08,46.0,Le Monêtier-les-Bains,Sestriere,Stage with mountain(s),Bjarne Riis,DEN
453,10,1996-07-09,208.5,Turin,Gap,Hilly stage,Erik Zabel,GER
454,11,1996-07-11,202.0,Gap,Valence,Hilly stage,José Jaime Gonzalez,COL
455,12,1996-07-12,143.5,Valence,Le Puy-en-Velay,Hilly stage,Pascal Richard,SUI
456,13,1996-07-13,177.0,Le Puy-en-Velay,Super Besse,Hilly stage,Rolf Sørensen,DEN
457,14,1996-07-14,186.5,Besse,Tulle,Hilly stage,Djamolidine Abduzhaparov,UZB
458,15,1996-07-15,176.0,Brive-la-Gaillarde,Villeneuve-sur-Lot,Plain stage,Massimo Podenzana,ITA
459,16,1996-07-16,199.0,Agen,Hautacam,Stage with mountain(s),Bjarne Riis,DEN
460,17,1996-07-17,262.0,Argelès-Gazost,Pamplona,Stage with mountain(s),Laurent Dufaux,SUI
461,18,1996-07-18,154.5,Pamplona,Hendaye,Hilly stage,Bart Voskamp,NED
462,19,1996-07-19,226.5,Hendaye,Bordeaux,Plain stage,Frédéric Moncassin,FRA
463,20,1996-07-20,63.5,Bordeaux,Saint-Émilion,Individual time trial,Jan Ullrich,GER
464,21,1996-07-21,147.5,Palaiseau,Paris,Plain stage,Fabio Baldato,ITA
465,P,1995-07-01,7.3,Saint-Brieuc,Saint-Brieuc,Individual time trial,Jacky Durand,FRA
466,1,1995-07-02,233.5,Dinan,Lannion,Plain stage,Fabio Baldato,ITA
467,2,1995-07-03,235.5,Perros-Guirec,Vitre,Plain stage,Mario Cipollini,ITA
469,4,1995-07-05,162.0,Alençon,Le Havre,Plain stage,Mario Cipollini,ITA
470,5,1995-07-06,261.0,Fécamp,Dunkirk,Plain stage,Jeroen Blijlevens,NED
471,6,1995-07-07,202.0,Dunkirk,Charleroi,Plain stage,Erik Zabel,GER
472,7,1995-07-08,203.0,Charleroi,Liège,Hilly stage,Johan Bruyneel,BEL
473,8,1995-07-09,54.0,Huy,Seraing,Individual time trial,Miguel Indurain,ESP
474,9,1995-07-11,160.0,Le Grand-Bornand,La Plagne,Stage with mountain(s),Alex Zülle,SUI
475,10,1995-07-12,162.5,La Plagne,L'Alpe d'Huez,Stage with mountain(s),Marco Pantani,ITA
476,11,1995-07-13,199.0,Le Bourg-d'Oisans,Saint-Étienne,Hilly stage,Maximilian Sciandri,GBR
477,12,1995-07-14,222.5,Saint-Étienne,Mende,Hilly stage,Laurent Jalabert,FRA
478,13,1995-07-15,245.0,Mende,Revel,Plain stage,Serhiy Utchakov,UKR
479,14,1995-07-16,164.0,Saint-Orens-de-Gameville,Guzet-Neige,Stage with mountain(s),Marco Pantani,ITA
480,15,1995-07-18,206.0,Saint-Girons,Cauterets,Stage with mountain(s),Richard Virenque,FRA
482,17,1995-07-20,246.0,Pau,Bordeaux,Plain stage,Erik Zabel,GER
483,18,1995-07-21,166.5,Montpon-Ménestérol,Limoges,Plain stage,Lance Armstrong,USA
484,19,1995-07-22,46.5,Lac de Vassivière,Lac de Vassivière,Individual time trial,Miguel Indurain,ESP
485,20,1995-07-23,155.0,Sainte-Geneviève-des-Bois,Paris,Plain stage,Djamolidine Abdoujaparov,UZB
486,P,1994-07-02,7.2,Lille,Lille,Individual time trial,Chris Boardman,GBR
487,1,1994-07-03,234.0,Lille,Armentières,Plain stage,Djamolidine Abdoujaparov,UZB
488,2,1994-07-04,203.5,Roubaix,Boulogne-sur-Mer,Plain stage,Jean-Paul van Poppel,NED
490,4,1994-07-06,204.5,Dover, Brighton,Plain stage,Francisco Cabello,ESP
491,5,1994-07-07,187.0,Portsmouth,Portsmouth,Plain stage,Nicola Minali,ITA
492,6,1994-07-08,270.5,Cherbourg,Rennes,Plain stage,Gianluca Bortolami,ITA
493,7,1994-07-09,259.5,Rennes,Futuroscope,Plain stage,Ján Svorada,SVK
494,8,1994-07-10,218.5,Poitiers,Trélissac,Plain stage,Bo Hamburger,DEN
495,9,1994-07-11,64.0,Périgueux,Bergerac,Individual time trial,Miguel Indurain,ESP
496,10,1994-07-12,160.5,Bergerac,Cahors,Plain stage,Jacky Durand,FRA
497,11,1994-07-13,263.5,Cahors,Hautacam,Stage with mountain(s),Luc Leblanc,FRA
498,12,1994-07-15,204.5,Lourdes,Luz Ardiden,Stage with mountain(s),Richard Virenque,FRA
499,13,1994-07-16,223.0,Bagnères-de-Bigorre,Albi,Plain stage,Bjarne Riis,DEN
500,14,1994-07-17,202.0,Castres,Montpellier,Plain stage,Rolf Sørensen,DEN
501,15,1994-07-18,231.0,Montpellier,Carpentras,Stage with mountain(s),Eros Poli,ITA
502,16,1994-07-19,224.5,Valréas,Alpe d'Huez,Stage with mountain(s),Roberto Conti,ITA
503,17,1994-07-20,149.0,Le Bourg-d'Oisans,Val Thorens,Stage with mountain(s),Nelson Rodriguez,COL
504,18,1994-07-21,174.5,Moutiers,Cluses,Stage with mountain(s),Piotr Ugrumov,LAT
505,19,1994-07-22,47.5,Cluses,Avoriaz,Mountain time trial,Piotr Ugrumov,LAT
506,20,1994-07-23,208.5,Morzine,Lac Saint-Point,Hilly stage,Djamolidine Abdoujaparov,UZB
507,21,1994-07-24,175.0,Disneyland Paris,Paris,Plain stage,Eddy Seigneur,FRA
508,P,1993-07-03,6.8,Le Puy du Fou,Le Puy du Fou,Individual time trial,Miguel Indurain,ESP
509,1,1993-07-04,215.0,Luçon,Les Sables-d'Olonne,Plain stage,Mario Cipollini,ITA
510,2,1993-07-05,227.5,Les Sables-d'Olonne,Vannes,Plain stage,Wilfried Nelissen,BEL
511,3,1993-07-06,189.5,Vannes,Dinard,Plain stage,Djamolidine Abdoujaparov,UZB
513,5,1993-07-08,225.5,Avranches,Évreux,Plain stage,Jesper Skibby,DEN
514,6,1993-07-09,158.0,Évreux,Amiens,Plain stage,Johan Bruyneel,BEL
515,7,1993-07-10,199.0,Péronne,Châlons-sur-Marne,Plain stage,Bjarne Riis,DEN
516,8,1993-07-11,184.5,Châlons-sur-Marne,Verdun,Plain stage,Lance Armstrong,USA
517,9,1993-07-12,59.0,Lac de Madine,Lac de Madine,Individual time trial,Miguel Indurain,ESP
518,10,1993-07-14,203.0,Villard-de-Lans,Serre Chevalier,Stage with mountain(s),Toni Rominger,SUI
519,11,1993-07-15,179.0,Serre Chevalier,Isola 2000,Stage with mountain(s),Toni Rominger,SUI
520,12,1993-07-16,286.5,Isola,Marseille,Plain stage,Fabio Roscioli,ITA
521,13,1993-07-17,181.5,Marseille,Montpellier,Plain stage,Olaf Ludwig,GER
522,14,1993-07-18,223.0,Montpellier,Perpignan,Plain stage,Pascal Lino,FRA
523,15,1993-07-19,231.5,Perpignan,Pal,Stage with mountain(s),Oliverio Rincón,COL
524,16,1993-07-21,230.0,Andorra,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Zenon Jaskuła,POL
525,17,1993-07-22,190.0,Tarbes,Pau,Stage with mountain(s),Claudio Chiappucci,ITA
526,18,1993-07-23,199.5,Orthez,Bordeaux,Plain stage,Djamolidine Abdoujaparov,UZB
527,19,1993-07-24,48.0,Brétigny-sur-Orge,Montlhéry,Individual time trial,Toni Rominger,SUI
528,20,1993-07-25,196.5,Viry-Châtillon,Paris,Plain stage,Djamolidine Abdoujaparov,UZB
529,P,1992-07-04,8.0,San Sebastián,San Sebastián,Individual time trial,Miguel Indurain,ESP
530,1,1992-07-05,194.5,San Sebastián,San Sebastián,Hilly stage,Dominique Arnould,FRA
531,2,1992-07-06,255.0,San Sebastián,Pau,Hilly stage,Javier Murguialday,ESP
532,3,1992-07-07,210.0,Pau,Bordeaux,Plain stage,Rob Harmeling,NED
534,5,1992-07-09,196.0,Nogent-sur-Oise,Wasquehal,Plain stage,Guido Bontempi,ITA
535,6,1992-07-10,167.0,Roubaix,Brussels,Plain stage,Laurent Jalabert,FRA
536,7,1992-07-11,196.5,Brussels,Valkenburg,Plain stage,Gilles Delion,FRA
537,8,1992-07-12,206.5,Valkenburg,Koblenz,Plain stage,Jan Nevens,BEL
538,9,1992-07-13,65.0,Luxembourg City,Luxembourg City,Individual time trial,Miguel Indurain,ESP
539,10,1992-07-14,217.0,Luxembourg City,Strasbourg,Plain stage,Jean-Paul van Poppel,NED
540,11,1992-07-15,249.5,Strasbourg,Mulhouse,Hilly stage,Laurent Fignon,FRA
541,12,1992-07-16,267.5,Dole,St Gervais,Hilly stage,Rolf Järmann,SUI
542,13,1992-07-18,254.5,St Gervais,Sestriere,Stage with mountain(s),Claudio Chiappucci,ITA
543,14,1992-07-19,186.5,Sestriere,Alpe d'Huez,Stage with mountain(s),Andrew Hampsten,USA
544,15,1992-07-20,198.0,Le Bourg-d'Oisans,Saint-Étienne,Hilly stage,Franco Chioccioli,ITA
545,16,1992-07-21,212.0,Saint-Étienne,La Bourboule,Hilly stage,Stephen Roche,IRE
546,17,1992-07-22,189.0,La Bourboule,Montluçon,Plain stage,Jean-Claude Colotti,FRA
547,18,1992-07-23,212.0,Montluçon,Tours,Plain stage,Thierry Marie,FRA
548,19,1992-07-24,64.0,Tours,Blois,Individual time trial,Miguel Indurain,ESP
549,20,1992-07-25,222.0,Blois,Nanterre,Plain stage,Peter De Clercq,BEL
550,21,1992-07-26,141.0,La Défense,Paris,Plain stage,Olaf Ludwig,GER
551,P,1991-07-06,5.4,Lyon,Lyon,Individual time trial,Thierry Marie,FRA
552,1,1991-07-07,114.5,Lyon,Lyon,Plain stage,Djamolidine Abdoujaparov,URS
554,3,1991-07-08,210.5,Villeurbanne,Dijon,Plain stage,Etienne De Wilde,BEL
555,4,1991-07-09,286.0,Dijon,Reims,Plain stage,Djamolidine Abdoujaparov,URS
556,5,1991-07-10,149.5,Reims,Valenciennes,Plain stage,Jelle Nijdam,NED
557,6,1991-07-11,259.0,Arras,Le Havre,Plain stage,Thierry Marie,FRA
558,7,1991-07-12,167.0,Le Havre,Argentan,Plain stage,Jean-Paul van Poppel,NED
559,8,1991-07-13,73.0,Argentan,Alençon,Individual time trial,Miguel Indurain,ESP
560,9,1991-07-14,161.0,Alençon,Rennes,Plain stage,Mauro Ribeiro,BRA
561,10,1991-07-15,207.5,Rennes,Quimper,Plain stage,Phil Anderson,AUS
562,11,1991-07-16,246.0,Quimper,Saint-Herblain,Plain stage,Charly Mottet,FRA
563,12,1991-07-18,192.0,Pau,Jaca,Stage with mountain(s),Charly Mottet,FRA
564,13,1991-07-19,232.0,Jaca,Val-Louron,Stage with mountain(s),Claudio Chiappucci,ITA
565,14,1991-07-20,172.5,St Gaudens,Castres,Plain stage,Bruno Cenghialta,ITA
566,15,1991-07-21,235.0,Albi,Ales,Hilly stage,Moreno Argentin,ITA
567,16,1991-07-22,215.0,Alès,Gap,Plain stage,Marco Lietti,ITA
568,17,1991-07-23,125.0,Gap,Alpe d'Huez,Stage with mountain(s),Gianni Bugno,ITA
569,18,1991-07-24,255.0,Le Bourg-d'Oisans,Morzine,Stage with mountain(s),Thierry Claveyrolat,FRA
570,19,1991-07-25,177.0,Morzine,Aix-les-Bains,Hilly stage,Dmitri Konychev,URS
571,20,1991-07-26,160.0,Aix-les-Bains,Mâcon,Hilly stage,Viatcheslav Ekimov,URS
572,21,1991-07-27,57.0,Lugny,Mâcon,Individual time trial,Miguel Indurain,ESP
573,22,1991-07-28,178.0,Melun,Paris,Plain stage,Dmitri Konychev,URS
574,P,1990-06-30,6.3,Futuroscope,Futuroscope,Individual time trial,Thierry Marie,FRA
575,1,1990-07-01,138.5,Futuroscope,Futuroscope,Plain stage,Frans Maassen,NED
577,3,1990-07-02,233.0,Poitiers,Nantes,Plain stage,Moreno Argentin,ITA
578,4,1990-07-03,203.0,Nantes,Mont Saint-Michel,Plain stage,Johan Museeuw,BEL
579,5,1990-07-04,301.0,Avranches,Rouen,Plain stage,Gerrit Solleveld,NED
580,6,1990-07-06,202.5,Sarrebourg,Vittel,Plain stage,Jelle Nijdam,NED
581,7,1990-07-07,61.5,Vittel,Épinal,Individual time trial,Raúl Alcalá,MEX
582,8,1990-07-08,181.5,Épinal,Besançon,Plain stage,Olaf Ludwig,GDR
583,9,1990-07-09,196.0,Besançon,Geneva,Hilly stage,Massimo Ghirotto,ITA
584,10,1990-07-10,118.5,Geneva,Saint-Gervais,Stage with mountain(s),Thierry Claveyrolat,FRA
585,11,1990-07-11,182.5,Saint-Gervais,Alpe d'Huez,Stage with mountain(s),Gianni Bugno,ITA
586,12,1990-07-12,33.5,Fontaine,Villard-de-Lans,Mountain time trial,Erik Breukink,NED
587,13,1990-07-14,149.0,Villard-de-Lans,Saint-Étienne,Hilly stage,Eduardo Chozas,ESP
588,14,1990-07-15,205.0,Le Puy-en-Velay,Millau,Hilly stage,Marino Lejarreta,ESP
589,15,1990-07-16,170.0,Millau,Revel,Plain stage,Charly Mottet,FRA
590,16,1990-07-17,215.0,Blagnac,Luz Ardiden,Stage with mountain(s),Miguel Indurain,ESP
591,17,1990-07-18,150.0,Lourdes,Pau,Stage with mountain(s),Dmitri Konychev,URS
592,18,1990-07-19,202.0,Pau,Bordeaux,Plain stage,Gianni Bugno,ITA
593,19,1990-07-20,182.5,Castillon-la-Bataille,Limoges,Plain stage,Guido Bontempi,ITA
594,20,1990-07-21,45.5,Lac de Vassivière,Lac de Vassivière,Individual time trial,Erik Breukink,NED
595,21,1990-07-22,182.5,Brétigny-sur-Orge,Paris,Plain stage,Johan Museeuw,BEL
596,P,1989-07-01,7.8,Luxembourg City,Luxembourg City,Individual time trial,Erik Breukink,NED
597,1,1989-07-02,135.5,Luxembourg City,Luxembourg City,Plain stage,Acácio da Silva,POR
599,3,1989-07-03,241.0,Luxembourg City,Spa,Plain stage,Raúl Alcalá,MEX
600,4,1989-07-04,255.0,Liège,Wasquehal,Flat cobblestone stage,Jelle Nijdam,NED
601,5,1989-07-06,73.0,Dinard,Rennes,Individual time trial,Greg LeMond,USA
602,6,1989-07-07,259.0,Rennes,Futuroscope,Plain stage,Joël Pelier,FRA
603,7,1989-07-08,258.5,Poitiers,Bordeaux,Plain stage,Etienne De Wilde,BEL
604,8,1989-07-09,157.0,Labastide-d'Armagnac,Pau,Plain stage,Martin Earley,IRE
605,9,1989-07-10,147.0,Pau,Cauterets,Stage with mountain(s),Miguel Induráin,ESP
606,10,1989-07-11,136.0,Cauterets,Superbagnères,Stage with mountain(s),Robert Millar,GBR
607,11,1989-07-12,158.5,Luchon,Blagnac,Plain stage,Mathieu Hermans,NED
608,12,1989-07-13,242.0,Toulouse,Montpellier,Plain stage,Valerio Tebaldi,ITA
609,13,1989-07-14,179.0,Montpellier,Marseille,Plain stage,Vincent Barteau,FRA
610,14,1989-07-15,240.0,Marseille,Gap,Hilly stage,Jelle Nijdam,NED
611,15,1989-07-16,39.0,Gap,Orcières-Merlette,Mountain time trial,Steven Rooks,NED
612,16,1989-07-18,175.0,Gap,Briançon,Stage with mountain(s),Pascal Richard,SUI
613,17,1989-07-19,165.0,Briançon,Alpe d'Huez,Stage with mountain(s),Gert-Jan Theunisse,NED
614,18,1989-07-20,91.5,Le Bourg-d'Oisans,Villard-de-Lans,Stage with mountain(s),Laurent Fignon,FRA
615,19,1989-07-21,125.0,Villard-de-Lans,Aix-les-Bains,Stage with mountain(s),Greg LeMond,USA
616,20,1989-07-22,130.0,Aix-les-Bains,L'Isle-d'Abeau,Plain stage,Giovanni Fidanza,ITA
617,21,1989-07-23,24.5,Versailles,Paris,Individual time trial,Greg LeMond,USA
618,P,1988-07-03,1.0,Pornichet,La Baule,Individual time trial,Guido Bontempi,ITA
619,1,1988-07-04,92.0,Pontchâteau,Machecoul,Plain stage,Steve Bauer,CAN
621,3,1988-07-05,213.0,Nantes,Le Mans,Plain stage,Jean-Paul van Poppel,NED
622,4,1988-07-06,158.0,Le Mans,Évreux,Plain stage,Acácio da Silva,POR
623,5,1988-07-07,148.0,Neufchâtel-en-Bray,Liévin,Plain stage,Jelle Nijdam,NED
624,6,1988-07-08,52.0,Liévin,Wasquehal,Individual time trial,Sean Yates,GBR
625,7,1988-07-09,225.0,Wasquehal,Reims,Plain stage,Valerio Tebaldi,ITA
626,8,1988-07-10,219.0,Reims,Nancy,Plain stage,Rolf Gölz,GER
627,9,1988-07-11,161.0,Nancy,Strasbourg,Hilly stage,Jérôme Simon,FRA
628,10,1988-07-12,149.0,Belfort,Besançon,Hilly stage,Jean-Paul van Poppel,NED
629,11,1988-07-13,232.0,Besançon,Morzine,Stage with mountain(s),Fabio Parra,COL
630,12,1988-07-14,227.0,Morzine,Alpe d'Huez,Stage with mountain(s),Steven Rooks,NED
631,13,1988-07-15,38.0,Grenoble,Villard-de-Lans,Mountain time trial,Pedro Delgado,ESP
632,14,1988-07-17,163.0,Blagnac,Guzet-Neige,Stage with mountain(s),Massimo Ghirotto,ITA
633,15,1988-07-18,187.0,Saint-Girons,Luz Ardiden,Stage with mountain(s),Laudelino Cubino,ESP
634,16,1988-07-19,35.0,Luz Ardiden,Pau,Plain stage,Adrie van der Poel,NED
635,17,1988-07-19,198.0,Pau,Bordeaux,Plain stage,Jean-Paul van Poppel,NED
636,18,1988-07-20,94.0,Ruelle-sur-Touvre,Limoges,Plain stage,Gianni Bugno,ITA
637,19,1988-07-21,188.0,Limoges,Puy de Dôme,Hilly stage,Johnny Weltz,DEN
638,20,1988-07-22,223.0,Clermont-Ferrand,Chalon-sur-Saône,Plain stage,Thierry Marie,FRA
