,Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
2114,2,1912-07-02,388.0,Dunkerque,Longwy,Plain stage,Odile Defraye,BEL
2115,3,1912-07-04,331.0,Longwy,Belfort,Stage with mountain(s),Eugène Christophe,FRA
2116,4,1912-07-06,344.0,Belfort,Chamonix,Stage with mountain(s),Eugène Christophe,FRA
2117,5,1912-07-08,366.0,Chamonix,Grenoble,Stage with mountain(s),Eugène Christophe,FRA
2118,6,1912-07-10,323.0,Grenoble,Nice,Stage with mountain(s),Octave Lapize,FRA
2119,7,1912-07-12,334.0,Nice,Marseille,Stage with mountain(s),Odile Defraye,BEL
2120,8,1912-07-14,335.0,Marseille,Perpignan,Plain stage,Vicenzo Borgarello,ITA
2121,9,1912-07-16,289.0,Perpignan,Luchon,Stage with mountain(s),Odile Defraye,BEL
2122,10,1912-07-18,326.0,Luchon,Bayonne,Stage with mountain(s),Louis Mottiat,BEL
2123,11,1912-07-20,379.0,Bayonne,La Rochelle,Plain stage,Jean Alavoine,FRA
2124,12,1912-07-21,470.0,La Rochelle,Brest,Plain stage,Louis Heusghem,BEL
2125,13,1912-07-24,405.0,Brest,Cherbourg,Plain stage,Jean Alavoine,FRA
2126,14,1912-07-26,361.0,Cherbourg,Le Havre,Plain stage,Vicenzo Borgarello,ITA
2127,15,1912-07-28,317.0,Le Havre,Paris,Plain stage,Jean Alavoine,FRA
2128,1,1911-07-02,351.0,Paris,Dunkerque,Plain stage,Gustave Garrigou,FRA
2129,2,1911-07-04,388.0,Dunkerque,Longwy,Plain stage,Jules Masselis,BEL
2130,3,1911-07-06,331.0,Longwy,Belfort,Stage with mountain(s),François Faber,LUX
2131,4,1911-07-08,344.0,Belfort,Chamonix,Stage with mountain(s),Charles Crupelandt,FRA
2132,5,1911-07-10,366.0,Chamonix,Grenoble,Stage with mountain(s),Émile Georget,FRA
2133,6,1911-07-12,348.0,Grenoble,Nice,Stage with mountain(s),François Faber,LUX
2134,7,1911-07-14,334.0,Nice,Marseille,Stage with mountain(s),Charles Crupelandt,FRA
2135,8,1911-07-16,335.0,Marseille,Perpignan,Plain stage,Paul Duboc,FRA
2136,9,1911-07-18,289.0,Perpignan,Luchon,Stage with mountain(s),Paul Duboc,FRA
2137,10,1911-07-20,326.0,Luchon,Bayonne,Stage with mountain(s),Maurice Brocco[n 2],FRA
2138,11,1911-07-22,379.0,Bayonne,La Rochelle,Plain stage,Paul Duboc,FRA
2139,12,1911-07-23,470.0,La Rochelle,Brest,Plain stage,Marcel Godivier,FRA
2140,13,1911-07-26,405.0,Brest,Cherbourg,Plain stage,Gustave Garrigou,FRA
2141,14,1911-07-28,361.0,Cherbourg,Le Havre,Plain stage,Paul Duboc,FRA
2142,15,1911-07-30,317.0,Le Havre,Paris,Plain stage,Marcel Godivier,FRA
2143,1,1910-07-03,269.0,Paris,Roubaix,Plain stage,Charles Crupelandt,FRA
